begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,scale,shift,name
6561,1,,,,,INTEGER,,,,,,Sticky_ITRack_chassis0_leakage
6562,1,,,,,INTEGER,,,,,,Sticky_ITRack_chassis1_leakage
6563,1,,,,,INTEGER,,,,,,Sticky_ITRack_chassis2_leakage
6564,1,,,,,INTEGER,,,,,,Sticky_ITRack_chassis3_leakage
6565,1,,,,,INTEGER,,,,,,Sticky_RPU_Internal_Leakage_Abnormal
6566,1,,,,,INTEGER,,,,,,Sticky_RPU_External_Leakage_Abnormal
6567,1,,,,,INTEGER,,,,,,Sticky_RPU_Opt_External_Leakage1_Abnormal
6568,1,,,,,INTEGER,,,,,,Sticky_RPU_Opt_External_Leakage2_Abnormal
6569,1,,,,,INTEGER,,,,,,Sticky_HEX_Rack_Pan_Leakage
6570,1,,,,,INTEGER,,,,,,Sticky_HEX_Rack_Floor_Leakage
6571,1,,,,,INTEGER,,,,,,Sticky_HEX_Rack_Pan_Leakage_Relay
6572,1,,,,,INTEGER,,,,,,Sticky_HEX_Rack_Floor_Leakage_Relay
6596,8,,,,,STRING,,,,,,RPU_FBPN
6604,8,,,,,STRING,,,,,,RPU_MFR_Model
6612,4,,,,,STRING,,,,,,RPU_MFR_Date
6616,8,,,,,STRING,,,,,,RPU_MFR_Serial
6624,4,,,,,STRING,,,,,,RPU_Workorder
6628,4,,,,,STRING,,,,,,RPU_HW_Revision
6632,4,,,,,STRING,,,,,,RPU_PLC_FW_Revision
6642,4,,,,,STRING,,,,,,RPU_HMI_FW_Revision
6646,2,,,,,STRING,,,,,,RPU_HEX_FW_Revision
6648,4,,,,,STRING,,,,,,RPU_Noahs_Ark_Configuration
6652,4,,,,,STRING,,,,,,RPU_Reservoir_And_Pumping_Unit_FBPN
6656,4,,,,,STRING,,,,,,Heat_Exchanger_Control_Box_FBPN
6660,4,,,,,STRING,,,,,,Heat_Exchanger_Fans_FBPN
6664,4,,,,,STRING,,,,,,Heat_Exchanger_Fan_Control_Box_FBPN
6636,2,,,,,INTEGER,,,,,,Total_Up_Time
6639,2,,,,,INTEGER,,,,,,Time_Since_Last_On
36864,1,,,,,FLOAT,,,0,0.1,,RPU_Coolant_Flow_Rate_LPM
36865,1,,,,,FLOAT,,,0,0.1,,RPU_Coolant_Outlet_Temp_C
36866,1,,,,,FLOAT,,,0,0.1,,RPU_Coolant_Inlet_Temp_C
36867,1,,,,,FLOAT,,,0,0.1,,RPU_Coolant_Outlet_Pressure_kPa
36868,1,,,,,FLOAT,,,0,0.1,,RPU_Coolant_Inlet_Pressure_kPa
36869,1,,,,,FLOAT,,,0,0.1,,RPU_Power_W
36870,1,,,,,FLOAT,,,0,0.1,,AALC_Total_Power_W
36871,1,,,,,FLOAT,,,0,0.1,,RPU_Input_Volt_V
36872,1,,,,,FLOAT,,,0,0.1,,RPU_Air_Inlet_Temp_C
36873,1,,,,,INTEGER,,,,,,RPU_Pump_PWM_Pct
36874,1,,,,,INTEGER,,,,,,RPU_Pump1_TACH_RPM
36875,1,,,,,INTEGER,,,,,,RPU_Pump2_TACH_RPM
36876,1,,,,,INTEGER,,,,,,RPU_Pump3_TACH_RPM
36877,1,,,,,INTEGER,,,,,,RPU_Pump4_TACH_RPM
36878,1,,,,,FLAGS,,,,,,RPU_Fan_Status
,,,,1,RPU_Fan2_Status,,,,,,,
,,,,0,RPU_Fan1_Status,,,,,,,
36879,1,,,,,INTEGER,,,,,,RPU_Fan1_TACH_RPM
36880,1,,,,,INTEGER,,,,,,RPU_Fan2_TACH_RPM
36881,1,,,,,FLOAT,,,0,0.1,,AALC_Cooling_Capacity_W
36882,1,,,,,INTEGER,,,,,,RPU_Pump1_Status
36883,1,,,,,INTEGER,,,,,,RPU_Pump2_Status
36884,1,,,,,INTEGER,,,,,,RPU_Pump3_Status
36885,1,,,,,INTEGER,,,,,,RPU_Pump4_Status
36886,1,,,,,INTEGER,,,,,,RPU_Reservoir_Status
36887,1,,,,,FLAGS,,,,,,RPU_LED_Status
,,,,4,RPU_LED_Power_Status,,,,,,,
,,,,3,RPU_LED_Fault_Status,,,,,,,
,,,,2,RPU_LED_Leakage_Status,,,,,,,
,,,,1,RPU_LED_Reservoir_Blinking,,,,,,,
,,,,0,RPU_LED_Reservoir_On,,,,,,,
36888,1,,,,,INTEGER,,,,,,RPU_Pump_Status
36889,1,,,,,INTEGER,,,,,,RPU_Internal_Fan_Status
36912,2,,,,,INTEGER,,,,,,RPU_Pump1_Runtime
36914,2,,,,,INTEGER,,,,,,RPU_Pump2_Runtime
36916,2,,,,,INTEGER,,,,,,RPU_Pump3_Runtime
36918,2,,,,,INTEGER,,,,,,RPU_Pump4_Runtime
37120,1,,,,,INTEGER,,,,,,HEX_Fan_PWM_TACH_Pct
37121,1,,,,,FLOAT,,,0,0.1,,HEX_Power_W
37122,1,,,,,INTEGER,,,,,,HEX_Input_Volt_V
37123,1,,,,,INTEGER,,,,,,HEX_Input_Current_V
37124,1,,,,,INTEGER,,,,,,HEX_Fan1_TACH_RPM
37125,1,,,,,INTEGER,,,,,,HEX_Fan2_TACH_RPM
37126,1,,,,,INTEGER,,,,,,HEX_FAN3_TACH_RPM
37127,1,,,,,INTEGER,,,,,,HEX_FAN4_TACH_RPM
37128,1,,,,,INTEGER,,,,,,HEX_FAN5_TACH_RPM
37129,1,,,,,INTEGER,,,,,,HEX_FAN6_TACH_RPM
37130,1,,,,,INTEGER,,,,,,HEX_FAN7_TACH_RPM
37131,1,,,,,INTEGER,,,,,,HEX_FAN8_TACH_RPM
37132,1,,,,,INTEGER,,,,,,HEX_FAN9_TACH_RPM
37133,1,,,,,INTEGER,,,,,,HEX_FAN10_TACH_RPM
37134,1,,,,,FLOAT,,,0,0.1,,HEX_Air_Outlet1_Temp_C
37135,1,,,,,FLOAT,,,0,0.1,,HEX_Air_Outlet2_Temp_C
37136,1,,,,,FLOAT,,,0,0.1,,HEX_Air_Inlet1_Temp_C
37137,1,,,,,FLOAT,,,0,0.1,,HEX_Air_Inlet2_Temp_C
37138,1,,,,,FLOAT,,,0,0.1,,HEX_Water_Inlet_Temp_C
37139,1,,,,,INTEGER,,,,,,HEX_Bladder_Level_Status
37140,1,,,,,INTEGER,,,,,,HEX_External_Y_Filter_Pressure
37141,1,,,,,INTEGER,,,,,,HEX_Static_Pressure
37142,1,,,,,INTEGER,,,,,,HEX_Vertical_Bladder_Level
37375,1,,,,,FLAGS,,,,,,AALC_Sensor_Alarm
,,,,0,Y_Filter_Sensor_Status,,,,,,,
37376,1,,,,,FLAGS,,,,,,AALC_Sensor_Alarm
,,,,15,Bladder_Level_Sensor_Status,,,,,,,
,,,,14,HEX_Static_Pressure_Sensor_Status,,,,,,,
,,,,13,RPU_Low_Water_Level_Gauge_Status,,,,,,,
,,,,12,RPU_Middle_Water_Level_Gauge_Status,,,,,,,
,,,,11,RPU_HSC_Status,,,,,,,
,,,,10,RPU_Air_Inlet_Thermometer_Status,,,,,,,
,,,,9,HX_Water_Inlet_Thermometer_Status,,,,,,,
,,,,8,HEX_Air_Inlet2_Thermometer_Status,,,,,,,
,,,,7,HEX_Air_Inlet1_Thermometer_Status,,,,,,,
,,,,6,HEX_Air_Outlet2_Thermometer_Status,,,,,,,
,,,,5,HEX_Air_Outlet1_Thermometer_Status,,,,,,,
,,,,4,RPU_Flow_Meter_Status,,,,,,,
,,,,3,RPU_Coolant_Outlet_Gauge_Status,,,,,,,
,,,,2,RPU_Coolant_Inlet_Gauge_Status,,,,,,,
,,,,1,RPU_Coolant_Outlet_Thermometer_Status,,,,,,,
,,,,0,RPU_Coolant_Inlet_Thermometer_Status,,,,,,,
37377,1,,,,,FLAGS,,,,,,AALC_Status_Alarm
,,,,10,Y_Filter_Status,,,,,,,
,,,,9,Deassert_RPU_Ready,,,,,,,
,,,,8,Emergency_Button_Triggered,,,,,,,
,,,,7,Coolant_Loop_Blocked,,,,,,,
,,,,6,Pump_Status_Abnormal,,,,,,,
,,,,5,HEX_Water_Inlet_Temp_Status,,,,,,,
,,,,4,RPU_Outlet_Pressure_Status,,,,,,,
,,,,3,RPU_Air_Inlet_Temp_Status,,,,,,,
,,,,2,RPU_Inlet_Temp_Status,,,,,,,
,,,,1,RPU_Outlet_Temp_Status,,,,,,,
,,,,0,RPU_Reservoir_Status_Abnormal,,,,,,,
37378,1,,,,,FLAGS,,,,,,Leakage
,,,,13,HEX_Rack_Floor_Leakage_Error,,,,,,,
,,,,12,HEX_Rack_Pan_Leakage_Error,,,,,,,
,,,,11,HEX_Rack_Floor_Leakage_Relay,,,,,,,
,,,,10,HEX_Rack_Pan_Leakage_Relay,,,,,,,
,,,,9,HEX_Rack_Floor_Leakage,,,,,,,
,,,,8,HEX_Rack_Pan_Leakage,,,,,,,
,,,,7,RPU_Opt_External_Leakage2_Abnormal,,,,,,,
,,,,6,RPU_Opt_External_Leakage1_Abnormal,,,,,,,
,,,,5,RPU_External_Leakage_Abnormal,,,,,,,
,,,,4,RPU_Internal_Leakage_Abnormal,,,,,,,
,,,,3,ITRack_chassis3_leakage,,,,,,,
,,,,2,ITRack_chassis2_leakage,,,,,,,
,,,,1,ITRack_chassis1_leakage,,,,,,,
,,,,0,ITRack_chassis0_leakage,,,,,,,
37379,1,,,,,FLAGS,,,,,,HEX_Alarm
,,,,15,HEX_Comms_Status,,,,,,,
,,,,14,HEX_Fan_Group3_Comms_Status,,,,,,,
,,,,13,HEX_Fan_Group2_Comms_Status,,,,,,,
,,,,12,HEX_Fan_Group1_Comms_Status,,,,,,,
,,,,10,HEX_Coil_Dirty,,,,,,,
,,,,9,HEX_Fan10_Status,,,,,,,
,,,,8,HEX_Fan9_Status,,,,,,,
,,,,7,HEX_Fan8_Status,,,,,,,
,,,,6,HEX_Fan7_Status,,,,,,,
,,,,5,HEX_Fan6_Status,,,,,,,
,,,,4,HEX_Fan5_Status,,,,,,,
,,,,3,HEX_Fan4_Status,,,,,,,
,,,,2,HEX_Fan3_Status,,,,,,,
,,,,1,HEX_Fan2_Status,,,,,,,
,,,,0,HEX_Fan1_Status,,,,,,,
37888,1,,,,,FLOAT,,,0,0.1,,Auto_Tune_Coolant_Flow_Rate_Target_Set
37889,1,,,,,FLOAT,,,0,0.1,,Auto_Tune_Coolant_Outlet_Temperature_Target_Set
37890,1,,,,,INTEGER,,,,,,Pump_Redundant_Switched_Interval
37891,1,,,,,INTEGER,,,,,,Manual_Control_Pump_Duty_Set
37892,1,,,,,INTEGER,,,,,,Manual_Control_Fan_Duty_Set
37904,1,,,,,FLAGS,,,,,,RPU_Control
,,,,15,Pump4_Reset,,,,,,,
,,,,14,Pump3_Reset,,,,,,,
,,,,13,Pump2_Reset,,,,,,,
,,,,12,Pump1_Reset,,,,,,,
,,,,11,Clear_Log,,,,,,,
,,,,10,Clear_Pump_Running_Time ,,,,,,,
,,,,9,Enable_Manual_Control,,,,,,,
,,,,8,Set_Pump_Group2,,,,,,,
,,,,7,Set_Pump_Group1,,,,,,,
,,,,6,RPU_Remote_Power_Cycle,,,,,,,
,,,,5,System_Stop,,,,,,,
,,,,4,Auto_Tune_Pressure_Balance_Control_On,,,,,,,
,,,,3,Auto_Tune_Flow_Control_On,,,,,,,
,,,,2,Manual_Control_Fan_On,,,,,,,
,,,,1,Manual_Control_Pump_On,,,,,,,
,,,,0,Pump_Redundant_Switched_Enable,,,,,,,
37905,1,,,,,FLAGS,,,,,,Leakage_Settings
,,,,5,RPU_Opt2_External_Leakage_Setting_On,,,,,,,
,,,,4,RPU_Opt1_External_Leakage_Setting_On,,,,,,,
,,,,3,Rack_Pan_Leakage_Setting_On,,,,,,,
,,,,2,Rack_Floor_Leakage_Setting_On,,,,,,,
,,,,1,RPU_Internal_Leakage_Setting_On,,,,,,,
,,,,0,RPU_External_Leakage_Setting_On,,,,,,,
